Headline,Body ID,Stance
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,36,0
Bugatti Veyron Vandalized With Penis Graffiti? Viral Photo Isn’t What It Seems,1148,1
Has Kim's SISTER taken over North Korea? Dictator fails to show for key Communist event (but does send a nice flower basket instead),81,0
North Korea Leader Kim Jong Un Is Still In Charge: Source,1580,0
Former PGA Tour player: Tiger Woods suspended for drug test failure,43,0
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,2492,0
Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',2352,0
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1489,0
Alleged audio of Michael Brown shooting released,776,0
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,831,0
Man who skipped work for 24 years is finally fired,1951,1
Big Bank Hank of The Sugarhill Gang is dead at 57,1458,0
Isis claims to behead US journalist,1347,0
Michael Phelps’ alleged girlfriend says she was born intersex,1349,1
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,1821,3
"Islamic State, in video titled ""A Message to America,"" beheads American journalist James Wright Foley who was kidnapped in 2012",826,0
"Viral Video Of Homeless Man Spending $100 On Food For Other Homeless Was Faked, Witness Says",344,0
Kim Jong-Un 'bans the name Kim Jong-un',1034,0
Scientists Doubt That Meteor Caused Crater In Nicaragua,2475,1
Fence Jumper Made It Deeper Into the White House Than Secret Service Claims,887,0
Boko Haram denies truce to release kidnapped schoolgirls,171,0
Journalist James Wright Foley reportedly beheaded by ISIS,984,0
Saudi cleric condemns snowmen as anti-Islamic,1950,0
Islamic State May Have Fighter Jets Now After Seizing Russian-Made MiGs,487,0
"Absent from duty for 25 years, CPWD official dismissed",1242,0
Did a Meteorite Impact in Nicaragua over the Weekend?,373,0
Meteorite strike in Nicaragua puzzles experts,715,3
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,2287,0
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,964,0
Small red book among finds in 113-year-old Boston time capsule,690,0
Kurds fear Isis use of chemical weapon in Kobani,1253,0
New Audio Shows Michael Brown Was Shot at 11 Times,1569,0
DHS Rebuffs Congressman’s Claim ISIS Infiltrating Southern Border,2367,2
Luke Somers 'killed in failed rescue attempt in Yemen',298,0
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,1737,0
"No, there aren’t any Ebola cases in Iraq",2003,3
URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah,969,1
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,311,0
Ferguson riots: audio may have captured Michael Brown shooting,1803,0
"ISIS Claims an American Hostage, Kayla Mueller, Died in Airstrike in Syria",2260,0
Did Paul Rudd Help Tackle That Dallas Airport Gay-Basher?,1844,0
WAS NBC METEOROLOGIST MIKE SEIDEL PEEING IN THE SNOW ON CAMERA? A TESTY BRIAN WILLIAMS EXPLAINS,1968,3
Canadian Soldier Shot At Ottawa War Memorial: Report,373,0
ISIS Extremists Claim to Behead British Hostage David Haines,1528,0
"Boko Haram agrees to ceasefire, release of school girls",2356,3
Led Zeppelin’s Robert Plant ripped up a $924 million reunion contract,2223,0
"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",1009,0
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",1439,0
"Boko Haram denies cease-fire, leader says he married off kidnapped girls",2096,0
"North Korea leader Kim is still in charge, has injured leg: source",1933,0
Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,570,0
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",2188,3
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,2287,0
Missing Planes,1958,3
Islamic State militants claim to behead missing American journalist,1372,0
ISIS Militants Allegedly Contracted Ebola,1905,0
Boko Haram ceasefire ignored as violence flares in Borno state,2139,2
Report: Missing Libyan jetliners raise fears of suicide airliner attacks on 9/11,1699,0
Batman Set To Play Steve Jobs In Upcoming Biopic,1846,2
Tropical spider 'burrowed under man's skin through scar' - video report,1888,0
ISIS Getting Ebola,1013,0
Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',1547,0
REPORT: Alleged New Audio of Michael Brown Shooting,2235,3
"Apple Watch to Feature Time-Only 'Power Reserve' Mode, Prototypes Disguised as Samsung Watches",2423,0
"Video showing American journalist beheaded believed real, officials and family say",2388,3
Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,2078,0
Luke Somers 'killed in failed rescue attempt in Yemen',401,0
Nicaragua Meteorite Impact Theory May Be Meteor-wrong,1627,0
"No, that high school kid didn't make $72 million trading stocks",2407,1
ISIL video claims beheading of kidnapped journalist James Foley,2304,0
Tiger Woods serving secret PED suspension?,757,3
Pentagon confirms al-Shabab leader killed in airstrike in Somalia,1084,1
